a,a,a,a,a,a
10300012,"Effingham County Power, LLC",6/5/06,4911-103-0012-V-03-1,VN-16716,Title V
28500073,Milliken & Co Duncan,7/25/07,2258-285-0073-V-02-0,VN-16702,Title V
5100018,Ga Power Co Plt Riverside,8/2/06,4911-051-0018-V-03-0,VN-16759,Title V
15300003,"CEMEX Southeast, LLC",4/4/08,3241-153-0003-V-04-2,VN-16746,Title V
17100005,JORDAN FOREST PRODUCTS,8/3/06,2421-171-0005-V-02-1,VN-16741,Title V
4900004,West Fraser - Folkston Lumber Mill,10/31/06,2421-049-0004-V-02-1,VN-16850,Title V
24500128,"DSM Coating Resins, Inc.",5/1/07,2821-245-0128-V-02-1,VN-16863,Title V
1300005,Johns Manville Corp. Winder Facility,11/15/06,3296-013-0005,VN-16822,Title V
12100840,RR Donnelley Williams Plant,9/26/07,2752-121-0840-V-02-0,VN-16827,Title V
31300001,Shaw Industries Group Inc. Plant 81,4/27/00,2273-313-0001-V-01-0,VN-9238,Title V
18500064,Weyerhaeuser NR Company,9/27/01,2439-185-0064-V-01-0,VN-9233,Title V
10300003,Ga Power Co Plt McIntosh,11/9/99,4911-103-0003-V-01-0,VN-9222,Title V
7100005,Ball Metal Beverage Container Corp.,6/19/98,3411-071-0005-V-01-0,VN-9275,Title V
30300006,Thiele Kaolin Company - Sandersville Plant,12/27/01,3295-303-0006-V-01-0,VN-9274,Title V
28900002,"Imerys Kaolin, Inc.-Jeffersonville Operation",5/31/00,3295-289-0002-V-01-0,VN-9264,Title V
23500008,Hollingsworth & Vose Company,10/9/98,2621-235-0008-V-01-0,,Title V
3300030,Southern Nuclear Operating Company - Plant Vogtle,2/9/00,4911-033-0030-V-01-0,VN-9296,Title V
10300007,GEORGIA-PACIFIC CONSUMER PRODUCTS LP (SAVANNAH RIVER MILL),9/28/01,2621-103-0007-V-01-0,VN-9283,Title V
2700013,"Langboard OSB, Quitman",8/31/99,2493-027-0013-V-01-0,VN-9339,Title V
12100070,"WestRock Packaging Systems, LLC",2/15/99,2657-121-0070-V-01-0,,Title V
16300026,KaMin - Wrens Calcine Plant,4/30/01,1455-163-0026-V-01-0,VN-9337,Title V
21500021,United States Army Maneuver Center of Excellence - Fort Benning,6/16/03,9711-215-0021-V-01-0,VN-9310,Title V
8900263,Waste Management Inc/Live Oak Landfill,7/31/02,4953-089-0263-V-01-0,VN-9366,Title V
24100001,RABUN APPAREL INC,5/24/01,2322-241-0001-V-01-0,VN-9351,Title V
2100059,Boral Bricks - Macon,7/19/99,3251-021-0059-V-01-0,VN-9436,Title V
3900001,Durango-Georgia Paper Company,5/22/02,2631-039-0001-V-01-0,VN-9427,Title V
900019,Central State Hospital,2/4/02,8063-009-0019-V-01-0,VN-9423,Title V
13500010,OFS Fitel LLC,12/9/03,3357-135-0010-V-01-0,VN-9420,Title V
9500023,Marine Corps Logistics Base,6/3/02,9711-095-0023-V-01-0,VN-9407,Title V
