Facility ID,Facility Name,City,County,Initial Issue Date,Renewal Date,Column1
A0030,Owens Brockway Glass Container Inc,Oakland,ALA,12/30/2013,,6001
A0054,Hexcel Corporation,Livermore,ALA,N/A,,6001
A0059,University of California Berkeley,Berkeley,ALA,Cancelled Permit,,6001
A0062,AB and I Foundry,Oakland,ALA,N/A,,6001
A0079,Morton International Inc,Newark,ALA,Cancelled Permit,,6001
A0083,United States Pipe and Foundry Company Inc,Union City,ALA,11/20/2012,,6001
A0273,Pechiney Plastic Packing Inc,Newark,ALA,Cancelled Permit,,6001
A0575,Acme Fiberglass Inc,Hayward,ALA,Cancelled Permit,,6001
A0591,East Bay Municipal Utility District,Oakland,ALA,11/20/2012,,6001
A1209,Union Sanitary District,Union City,ALA,Cancelled Permit,,6001
A1438,Tesla Motors Inc,Fremont,ALA,N/A,,6001
A1675,Orcon Corporation,Union City,ALA,Cancelled Permit,,6001
A1996,Integrated Environmental Systems,Oakland,ALA,N/A,,6001
A2066,Waste Management of Alameda County,Livermore,ALA,N/A,,6001
A2246,TriCities Waste Management,Fremont,ALA,4/2/2014,,6001
A2300,Fleischmanns Yeast,Oakland,ALA,N/A,,6001
A3024,Isola USA Corp,Fremont,ALA,Cancelled Permit,,6001
A5095,Republic Services Vasco Road LLC,Livermore,ALA,4/30/2012,,6001
A6499,Commercial Pattern Inc,Hayward,ALA,N/A,,6001
B1326,PE Berkeley,Berkeley,ALA,N/A,,6001
B1362,Owens Brockway Glass Container Inc,Hayward,ALA,Cancelled Permit,,6001
B1887,Dynegy Oakland LLC,Oakland,ALA,8/30/2012,,6001
B2975,LaSaffre Yeast Corporation,Oakland,ALA,Cancelled Permit,,6001
B3424,Tesla Power Project,Livermore,ALA,N/A,,6001
B8136,Russell City Energy Center,Hayward,ALA,N/A,,6001
A0010,Chevron Products Company,Richmond,CC,N/A,,6013
A0011,Shell Martinez Refinery,Martinez,CC,11/15/2010,,6013
A0012,Mirant GenOn Delta LLC Pittsburg Generating Station,Pittsburg,CC,N/A,,6013
A0016,Phillips 66 San Francisco Refinery,Rodeo,CC,N/A,,6013
A0018,GenOn Delta LLC Contra Costa Plant,Antioch,CC,Cancelled permit,,6013
A0022,Phillips 66 Carbon Plant,Rodeo,CC,N/A,,6013
A0023,General Chemical West LLC,Richmond,CC,N/A,,6013
A0031,Dow Chemical Company,Pittsburg,CC,12/17/2015,,6013
A0057,BP West Coast Products LLC,Richmond,CC,Cancelled Permit,,6013
A0119,Johns Manville International Inc,Pittsburg,CC,N/A,,6013
A0227,Criterion Catalysts and Technologies LP,Pittsburg,CC,N/A,,6013
A0581,Shore Terminals LLC,Crockett,CC,2/28/2007,,6013
A0907,Central Contra Costa Sanitary District,Martinez,CC,1/30/2015,,6013
A0927,California Oil Corporation,Richmond,CC,Cancelled Permit,,6013
A1464,Acme Fill Corporation,Martinez,CC,N/A,,6013
A1761,Myers Container Corporation,Rodeo,CC,N/A,,6013
A1820,Martinez Cogen Limited Partnership,Martinez,CC,N/A,,6013
A1840,West Contra Costa Sanitary Landfill,Richmond,CC,N/A,,6013
A2180,Gaylord Container Corporation,Antioch,CC,Plant Closed,,6013
A2371,USS POSCO Industries,Pittsburg,CC,12/3/2012,,6013
A4022,SFPP LP,Concord,CC,N/A,,6013
A4618,Keller Canyon Landfill Company,Pittsburg,CC,5/15/2014,,6013
A7034,Pacific Plains Products Terminals LLC,Martinez,CC,6/5/2015,,6013
A8664,Crockett Cogeneration A Cal Ltd Partnership,Crockett,CC,7/31/2014,,6013
B0295,Air Products and Chemical Inc,Martinez,CC,N/A,,6013
B0834,Pacific Custom Materials Inc,Port Costa,CC,N/A,,6013
B0989,Silgan Containers Mfg Corp,Antioch,CC,Cancelled Permit,,6013
B1661,Eco Services Operations LLC,Martinez,CC,N/A,,6013
B1866,Los Medanos Energy Center,Pittsburg,CC,N/A,,6013
B1911,C and H Sugar Company Inc,Crockett,CC,N/A,,6013
B1928,Calpine Pittsburg Power Plant,Pittsburg,CC,5/26/2006,,6013
B1956,Equilon Enterprises LLC,Martinez,CC,11/26/2014,,6013
B2095,Delta Energy Center,Pittsburg,CC,N/A,,6013
B2758,Tesoro Refining and Marketing Company,Martinez,CC,N/A,,6013
B3050,East Altamont Energy Center,Byron,CC,N/A,,6013
B4512,Gilroy Energy Center LLC for Riverview Energy Center,Antioch,CC,6/30/2011,,6013
B7419,Air Liquide Large Industries US LP,Rodeo,CC,N/A,,6013
B7667,Ameresco Keller Canyon,Pittsburg,CC,10/6/2014,,6013
B8143,Gateway Generating Station,Antioch,CC,N/A,,6013
B8478,United Spiral Pipe,Pittsburg,CC,5/11/2012,,6013
B9169,Marsh Landing Generating Station,Antioch,CC,10/14/2015,,6013
B9730,Mariposa Energy LLC,Byron,CC,9/30/2014,,6013
E1200,Tesoro Logistics Operations,Martinez,CC,N/A,,6013
35188,3M COMPANY,MONROVIA,LA,6/17/13,,6037
47084,ADVANCE PAPER BOX CO,LOS ANGELES,LA,8/13/01,9/16/11,6037
57390,ADVANCE TRUCK PAINTING INC,PICO RIVERA,LA,4/16/01,6/7/11,6037
23752,AEROCRAFT HEAT TREATING CO INC,PARAMOUNT,LA,1/16/02,1/28/10,6037
115394,"AES ALAMITOS, LLC",LONG BEACH,LA,8/19/99,11/4/14,6037
115536,"AES REDONDO BEACH, LLC",REDONDO BEACH,LA,8/19/99,1/15/14,6037
101667,AG-FUME SERVICE INC,LONG BEACH,LA,1/30/09,5/15/15,6037
106897,AG-FUME SERVICES INC,SAN PEDRO,LA,1/30/09,5/15/15,6037
148236,"AIR LIQUIDE LARGE INDUSTRIES U.S., LP",EL SEGUNDO,LA,5/9/08,5/9/13,6037
3417,AIR PROD & CHEM INC,CARSON,LA,9/4/08,1/23/14,6037
101656,"AIR PRODUCTS AND CHEMICALS, INC.",WILMINGTON,LA,2/2/09,3/13/15,6037
176708,ALTAGAS POMONA ENERGY INC.,POMONA,LA,4/13/10,,6037
140373,AMERESCO CHIQUITA ENERGY LLC,VALENCIA,LA,6/15/07,3/6/13,6037
800196,AMERICAN AIRLINES INC,LOS ANGELES,LA,6/6/02,7/6/12,6037
59225,AMERICH CORP,NORTH HOLLYWOOD,LA,8/15/05,11/2/10,6037
16642,"ANHEUSER-BUSCH LLC., (LA BREWERY)",VAN NUYS,LA,6/2/00,10/12/11,6037
118314,"ANTHONY, INC.",SAN FERNANDO,LA,5/9/00,12/13/11,6037
222,ARCHITECTURAL WOODWORKING CO,MONTEREY PARK,LA,2/4/02,5/6/12,6037
124619,ARDAGH METAL PACKAGING USA INC.,TERMINAL ISLAND,LA,5/2/01,1/19/11,6037
110577,ARMORCAST PRODUCTS COMPANY,NORTH HOLLYWOOD,LA,1/12/09,10/21/14,6037
12155,ARMSTRONG WORLD INDUSTRIES INC,SOUTH GATE,LA,6/2/00,10/14/10,6037
173846,"AZUSA LAND RECLAMATION,INC",AZUSA,LA,1/3/12,,6037
800016,BAKER COMMODITIES INC,VERNON,LA,5/9/00,8/7/12,6037
69081,"BAXTER HEALTHCARE CORP., HYLAND DIV",LOS ANGELES,LA,10/17/12,,6037
155474,BICENT (CALIFORNIA) MALBURG LLC,VERNON,LA,9/9/09,11/3/15,6037
800209,BKK CORP (EIS USE),WEST COVINA,LA,10/15/04,3/16/12,6037
174544,BREITBURN OPERATING LP,LOS ANGELES,LA,9/2/11,,6037
1034,BUILDERS FENCE CO INC,SUN VALLEY,LA,11/15/01,6/7/11,6037
25638,"BURBANK CITY, BURBANK WATER & POWER",BURBANK,LA,8/19/99,1/9/15,6037
128243,"BURBANK CITY,BURBANK WATER & POWER,SCPPA",BURBANK,LA,5/27/03,1/9/15,6037
800387,CAL INST OF TECH,PASADENA,LA,10/8/01,11/1/11,6037
22911,CARLTON FORGE WORKS,PARAMOUNT,LA,9/11/01,9/21/11,6037
118406,CARSON COGENERATION COMPANY,CARSON,LA,3/26/01,10/18/11,6037
141555,"CASTAIC CLAY PRODUCTS, LLC",CASTAIC,LA,10/6/99,10/19/11,6037
16389,CEDARS-SINAI MEDICAL CTR,LOS ANGELES,LA,3/26/01,10/25/11,6037
800380,CERTIFIED ENAMELING INC,LOS ANGELES,LA,9/22/99,9/22/15,6037
42676,CES PLACERITA INC,NEWHALL,LA,4/16/01,11/4/14,6037
178770,"CHEMOIL TERMINALS CORP, CARSON TERMINAL",CARSON,LA,1/25/10,,6037
800030,CHEVRON PRODUCTS CO.,EL SEGUNDO,LA,10/12/09,,6037
2526,CHEVRON USA INC,VAN NUYS,LA,2/23/09,8/29/14,6037
800032,CHEVRON USA INC,MONTEBELLO,LA,5/25/09,8/29/14,6037
119219,CHIQUITA CANYON LLC,VALENCIA,LA,5/6/04,5/16/12,6037
23194,CITY OF HOPE MEDICAL CENTER,DUARTE,LA,7/13/05,10/18/11,6037
14502,"CITY OF VERNON, VERNON GAS & ELECTRIC",VERNON,LA,5/27/03,11/3/15,6037
16978,CLOUGHERTY PACKING LLC/HORMEL FOODS CORP,VERNON,LA,10/23/08,1/7/14,6037
37336,COMMERCE REFUSE TO ENERGY FACILITY,COMMERCE,LA,4/12/04,,6037
126536,CONSOLIDATED FOUNDRIES - POMONA,POMONA,LA,7/30/04,5/20/10,6037
19144,CORONET MFG CO INC,GARDENA,LA,8/13/01,9/23/11,6037
7949,"CUSTOM FIBREGLASS MFG CO.,DBA,SNUGTOP",LONG BEACH,LA,4/9/01,6/7/11,6037
