Souce,Numbers,EPA Start,d,d,d,d
AA Sulfuric Corp - SULFURIC ACID PLANT AI 173682,2247-V5,4/21/16,6/4/16,6/5/16,8/3/16,Renewal and Minor Modification
"AGL Resources, LLC - Jefferson Island Storage and Hub LLC AI 33270",2940-00126-V5,4/24/15,6/7/15,6/8/15,8/6/15,Renewal and Major Modification
Air Liquide Large Industries US LP - Geismar Utility Services AI 1093,0180-00002-V3,10/22/15,12/5/15,12/6/15,2/3/16,Renewal and Major Modification
Air Products and Chemicals Inc - Geismar #1 Synthetic Gas SMR Facility AI 2679...,0180-00023-V4,11/26/15,1/9/16,1/10/16,3/9/16,Renewal
,2520-00172-V0,2/19/15,4/4/15,4/5/15,6/3/15,Also PSD-LA-794
"Americal Styrenics, LLC - St James Styrene Facility AI 2384",2560-00007-V14,11/12/15,12/26/15,12/27/15,2/24/16,Renewal and Minor Modification; also PSD-LA-551(M-11) MiM
American Sugar Refining Inc - Chalmette Cane Sugar Refinery AI 1329,2500-00009-V5,3/11/16,4/24/16,4/25/16,6/23/16,Renewal and Minor Modification
Angus Chemical Co - Nitroparaffins Basics Plant AI 1556,2772-V9,10/27/15,12/10/15,12/11/15,2/8/16,Renewal and Minor Modification
Angus Chemical Co - WWTP and Pilot Plant AI 1556,2771-V4,3/7/16,4/20/16,4/21/16,6/19/16,Renewal and Minor Modification
ANR Pipeline Co - Grand Chenier Compressor Station AI 3394,0560-00034-V6,9/3/15,10/17/15,10/18/15,12/16/15,Renewal
ANR Pipeline Co - PATTERSON COMPRESSOR STATION AI 1959,2660-00029-V3,12/9/15,1/22/16,1/23/16,3/22/16,Renewal
"AXIALL, LLC - Plaquemine Facility Cogeneration Plant AI 2455",2056-V3,3/10/16,4/23/16,4/24/16,6/22/16,Renewal and Minor Modification
,881-V5,6/22/15,8/5/15,8/6/15,10/4/15,"Renewal and Minor Modification, Formerly Georgia Gulf Chemicals and Vinyls LLC"
BASF Corp - Geismar Plant EO/EG Plant AI 2049,2459-V7,6/25/15,8/8/15,8/9/15,10/7/15,Renewal and Minor Modification
BASF Corp - Geismar Plant Surfactants Plant AI 2049,2582-V6,12/3/15,1/16/16,1/17/16,3/16/16,Renewal
Benteler Steel / Tube Manufacturing Corporation - Benteler Steel Tube Facility ...,0500-00690-V1,2/23/15,4/8/15,4/9/15,6/7/15,Also PSD-LA-774(M1)
,0520-00167-V5,5/11/15,6/24/15,6/25/15,8/23/15,Renewal and Minor Modification
Bunge North America Inc - Destrehan Grain Elevator AI 103295,2520-00048-V5,10/12/15,11/25/15,11/26/15,1/24/16,Major Modification
C & C Marine and Repair LLC - Belle Chase AI 90671,2240-00390-V2,3/24/15,5/7/15,5/8/15,7/6/15,Renewal
Cameron International Corporation - Berwick Facility AI 1610,2660-00244-V0,4/15/15,5/29/15,5/30/15,7/28/15,Initial Permit
Cameron Interstate Pipeline LLC - Holbrook Compressor Station AI 184545,0520-00464-V1,12/7/15,1/20/16,1/21/16,3/20/16,Major Modification; also PSD-LA-769 (M-1) MaM
Cameron LNG LLC - AI 99407,0560-00184-V7,1/14/16,2/27/16,2/28/16,4/27/16,Major Modification; also PSD-LA-766(M-2) MaM
CenterPoint Energy Field Services LLC - Robeline No. 1 Station AI 169878,1980-00057-V2,4/14/15,5/28/15,5/29/15,7/27/15,Renewal
Central Crude Inc - Gillis English Bayou Terminal AI 2979,0520-00076-V5,4/10/16,5/24/16,5/25/16,7/23/16,Renewal and Minor Modification
Chevron Pipeline Co - Fort Henry Gas Separation Facility AI 97781,2940-00234-V4,9/4/15,10/18/15,10/19/15,12/17/15,Renewal and Major Modification
Chevron Texaco Pipeline Co - Henry Hub South Booster Station AI 19390,2940-00054-V3,5/13/15,6/26/15,6/27/15,8/25/15,Renewal
Citgo Petroleum Corp - Citgo Pipeline Company Pecan Grove Tank Farm AI 37119,2338-V3,2/26/16,4/10/16,4/11/16,6/9/16,Renewal
Citgo Petroleum Corp - Lake Charles Manufacturing Complex Reformer Area AI 1250...,2920-V3,3/18/16,5/1/16,5/2/16,6/30/16,Renewal
Citgo Petroleum Corp - Lake Charles Manufacturing Complex Thermal Area AI 1250,2930-V4,12/1/15,1/14/16,1/15/16,3/14/16,Renewal and Major Modification
"Cleco Power, LLC- Acadia Power Station AI 83623",0040-00105-V3,3/11/15,4/24/15,4/25/15,6/23/15,Renewal
Columbia Gulf Transmission Co - Rayne Compressor Station AI 2839,0040-0033-V5,10/8/15,11/21/15,11/22/15,1/20/16,Renewal and Major Modification
ConocoPhillips Co - Alliance Refinery 294/295 Units AI 2418,2840-V4,6/16/15,7/30/15,7/31/15,9/28/15,Major Modification; also PSD-LA-696(M-3) MiM
ConocoPhillips Co - Alliance Refinery Unit 308W AI 2418,1870-V2,12/1/15,1/14/16,1/15/16,3/14/16,Renewal and Major Modification
ConocoPhillips Co - Alliance Refinery Unit 406 Marine Loading AI 2418,2313-V5,7/7/15,8/20/15,8/21/15,10/19/15,Major Modification; also PSD-LA-799 In
