Source,Number,Epa start,Epa end,60 day public,60 day end,comment
Agave Energy Company; Penasco Compressor Station,P005-R3,10/23/15,12/6/15,12/7/15,2/4/16,Renewal
American Gypsum Company; Bernalillo Plant,P225-R2,6/25/15,8/8/15,8/9/15,10/7/15,Renewal
"Black Hills Midstream, LLC; Espinosa Canyon Amine Plant",P248-R1M1,4/27/15,6/10/15,6/11/15,8/9/15,Minor Modification
Conoco Phillips Company - MCA Tank Battery No. 2,P175R3,3/12/16,4/25/16,4/26/16,6/24/16,Renewal
Dairy Farmers of America - Portales Plant,P234R2,2/14/16,3/29/16,3/30/16,5/28/16,Renewal
"DCP Midstream,L.P.; -Lusk Booster Station",P093-R3,3/9/15,4/22/15,4/23/15,6/21/15,Renewal
Eddy County / City of Carlsbad; Sand Point Landfill,P190L-R2-M1,4/1/15,5/15/15,5/16/15,7/14/15,Significant Modification
"El Paso Natural Gas -Lordsburg Compressor Station,",P131-R3M1,4/7/16,5/21/16,5/22/16,7/20/16,Significant Modification
"El Paso Natural Gas Company, LLC; Caprock Compressor Station",P132-R3,2/27/15,4/12/15,4/13/15,6/11/15,Renewal
"El Paso Natural Gas Company, LLC; Pecos River Compressor Station",P129R3,5/11/15,6/24/15,6/25/15,8/23/15,Renewal
"El Paso Natural Gas Company, LLC; Washington Ranch Storage Facility",P064-R3,3/5/15,4/18/15,4/19/15,6/17/15,Renewal
"El Paso Natural Gas Company, L.L.C.; Bluewater Compressor Station",P139-R3,10/28/15,12/11/15,12/12/15,2/9/16,Renewal
"El Paso Natural Gas Company, L.L.C.; Florida Compressor Station",P137-R3,7/31/15,9/13/15,9/14/15,11/12/15,Renewal
El Paso Natural Gas Company; Lincoln Compressor Station,P022-R3,3/16/15,4/29/15,4/30/15,6/28/15,Renewal
"Enterprise Field Services, LLC- Frances Mesa Compressor Station",P170R3,3/12/16,4/25/16,4/26/16,6/24/16,Renewal
"Enterprise Field Services, LLC - Huerfano Pump Station",P201R2M1,3/16/16,4/29/16,4/30/16,6/28/16,Significant Modification
"Enterprise Field Services, LLC; South Carlsbad Compressor Station",P130R2M1,10/15/15,11/28/15,11/29/15,1/27/16,Significant Modification
Freeport McMoRan - Tyrone Mine,P147R2,2/19/16,4/3/16,4/4/16,6/2/16,Renewal
"Intrepid Potash - New Mexico, LLC; Intrepid Potash - East Plant",P009-R2,5/20/15,7/3/15,7/4/15,9/1/15,Renewal
"Intrepid Potash New Mexico LLC- West Floatation Plant, North Plant, and HB Plant",P261-M1,4/13/16,5/27/16,5/28/16,7/26/16,Significant Modification
"Mosaic Potash Carlsbad Inc.: Mosaic Potash Carlsbad, Inc.",P039-R2M1,9/14/15,10/28/15,10/29/15,12/27/15,Significant Permit Modification
Natural Gas Pipeline Company of America- Compressor Station No. 167,P141-R3M2,1/16/16,2/29/16,3/1/16,4/29/16,Minor Modification
"Navajo Refining Company, Artesia Refinery",P051-R2,3/4/15,4/17/15,4/18/15,6/16/15,Renewal
"Navajo Refining Company, L.L.C.; Lovington Refinery",P020-R2,5/14/15,6/27/15,6/28/15,8/26/15,Renewal
New Mexico Gas Company; Star Lake Compressor Station,P042-R3,3/5/15,4/18/15,4/19/15,6/17/15,Renewal
,P172-R3,4/18/16,6/1/16,6/2/16,7/31/16,Renewal
"NuStar Logistics, L.P., Hope Pump Station",P183-R3,4/1/15,5/15/15,5/16/15,7/14/15,Renewal
Public Service Company of New Mexico (PNM) - San Juan,P062R3/AR3,4/18/16,6/1/16,6/2/16,7/31/16,Renewal
Public Service Company of New Mexico (PNM); Lordsburg Generating Station,P214-R2,9/24/15,11/7/15,11/8/15,1/6/16,Renewal
Public Service Company of New Mexico (PNM); Lordsburg Generating Station,P214-R2 & P214A,10/20/15,12/3/15,12/4/15,2/1/16,Renewal
Public Service of New Mexico (PNM),P211R2/AR3,4/28/16,6/11/16,6/12/16,8/10/16,Renewal
"Regency Field Services, LLC- West Eunice Compressor Station",P242-R2,4/29/16,6/12/16,6/13/16,8/11/16,Renewal
South Central Solid Waste Authority; Corralitos Regional Landfill,P188L,9/28/15,11/11/15,11/12/15,1/10/16,Initial
Southwestern Public Service Company as Xcel Energy: Cunningham Power Plant,P080-R3,6/3/15,7/17/15,7/18/15,9/15/15,Rnewal
"Southwestern Public Service Company, (Xcel Energy); Quay County Generating Plant",P0265,11/27/15,1/10/16,1/11/16,3/10/16,Initial
Southwestern Public Service Company; Maddox Station,P008-R3,6/3/15,7/17/15,7/18/15,9/15/15,Renewal
Transwestern Pipeline Company - Thoreau Compressor Station #5,P155R3,1/22/16,3/6/16,3/7/16,5/5/16,Renewal
Transwestern Pipeline Company; Bloomfield Compressor Station,P010-R3,5/29/15,7/12/15,7/13/15,9/10/15,Renewal
Transwestern Pipeline Company; Roswell Compressor Station No. 9.,P154-R3M1,6/16/15,7/30/15,7/31/15,9/28/15,Significant Modification
USAF - Cannon Air Force Base,P119R1M2,2/18/16,4/2/16,4/3/16,6/1/16,Minor Modification
Williams Four Corners LLC- Chaco Compressor Station,P236-R1M2,3/7/16,4/20/16,4/21/16,6/19/16,Significant Modification
Williams Four Corners LLC- Kutz Canyon Gas Plant,P097-R2M2,2/18/16,4/2/16,4/3/16,6/1/16,Renewal
"Williams Four Corners, LLC- North Crandell",P197-R3,3/30/16,5/13/16,5/14/16,7/12/16,Renewal
"Williams Four Corners, LLC - Chaco Compressor Station.",P236-R1M2,7/28/15,9/10/15,9/11/15,11/9/15,Significant Modification
"Williams Four Corners, LLC, Decker Junction Central Delivery Point Compressor St...",P034-R3,6/15/15,7/29/15,7/30/15,9/27/15,Renewal
"Williams Four Corners, LLC; Carracas CDP Compressor Station",P168-R3,10/20/15,12/3/15,12/4/15,2/1/16,Renewal
"Williams Four Corners, LLC; Cedar Hill Central Delivery Point",P036-R3,3/25/15,5/8/15,5/9/15,7/7/15,Renewal
"Williams Four Corners, LLC; El Cedro Gas Treating Plant",P046-R2M1,7/27/15,9/9/15,9/10/15,11/8/15,Significant Modification
"Williams Four Corners, LLC; Kutz Canyon Gas Processing Plant",P097-R2M2,7/28/15,9/10/15,9/11/15,11/9/15,Minor Modification
"Williams Four Corners, LLC; Thompson Compressor Station",P018-R3,5/27/15,7/10/15,7/11/15,9/8/15,Renewal
"Williams Four Corners, LLC; Trunk A Comressor Station",P177-R3,5/4/15,6/17/15,6/18/15,8/16/15,Renewal
"Williams Four Corners, LLC; Trunk B Compressor Station",P178-R3,5/25/15,7/8/15,7/9/15,9/6/15,Renewal
"Williams Four Corners, LLC; Trunk L Compressor Station",P166-R3,4/1/15,5/15/15,5/16/15,7/14/15,Renewal
