Oklahoma,Numbers,EPA Start,d,d,d,d
"ÊROSE ROCK MIDSTREAM LP, CUSHING NORTH TANK FARM, PAYNE COUNTY",2014-2368-TVR,7/21/15,9/3/15,9/4/15,11/2/15,"Rose Rock Midstream, LP , is applying for a renewed Part 70 operating permit for the Cushing North ..."
,,,,,,
,,,,,,
"99-103-TV M-9, GOODYEAR TIRE AND RUBBER CO, LAWTON TIRE PLT, COMANCHE COUNTY",GOODYEAR TIRE A,5/3/11,6/16/11,,,
,,,,,,
,,,,,,
,,,,,,
"ACME BRICK CO, 500 E MEMORIAL RD, OKLAHOMA COUNTY",2009-037-TVR2 M,3/25/11,5/8/11,,,TVR - modification
,,,,,,
,,,,,,
Acme Brick Co.- Oklahoma City Brick Plant,2014-0256-TVR3,3/4/15,4/17/15,4/18/15,6/16/15,
American Electric Power (AEP) Ð Public Service Company of Oklahoma (PSO) - Tulsa...,2014-0874-TVR3,4/17/15,5/31/15,6/1/15,7/30/15,
"AMERICAN GYPSUM CO LLC, GYPSUM WALLBOARD PLT, JACKSON COUNTY",2007-143-TVR M-,2/16/11,4/1/11,,,
,,,,,,
,,,,,,
"American Gypsum Company, LLC - Gypsum Wallboard Plant",2013-0286-TVR2,2/24/15,4/9/15,4/10/15,6/8/15,
"ANADARKO GATHERING CO LLC, NORTH RICHLAND STA, NORTH RICHLAND STA",2009-395-TVR2,2/17/11,4/2/11,,,
,,,,,,
,,,,,,
"ASSOC ELEC COOP INC, CHOUTEAU PWR PLT, MAYES COUNTY",2007-063-ARR M-,11/30/11,1/13/12,,,Acid Rain permit
,,,,,,
,,,,,,
"ATLAS PIPELINE MIDCONTINENT WESTOK LLC, CHANEY DELL CMPSR STA, MAJOR COUNTY",2009-172-O,3/12/10,4/26/10,,,
,,,,,,
,,,,,,
"ATLAS PIPELINE MIDCONTINENT WESTOK LLC, WAYNOKA NATURAL GAS PROCESSING PLT, WOODS É",2006-303-C M-2,5/3/11,6/16/11,,,
,,,,,,
,,,,,,
"ATLAS PIPELINE MIDCONTINENT WESTOK LLC, WAYNOKA NATURAL GAS PROCESSING PLT, WOODS É",2006-303-C M-3,11/23/11,1/6/12,,,
,,,,,,
,,,,,,
"BAKER PETROLITE CORP - BARNSDALL, BARNSDALL MFG FACLTY, OSAGE COUNTY",2010-002-TVR2,5/26/11,7/9/11,,,
,,,,,,
,,,,,,
Baldor Electric Company,99-124-TV (M-2),7/22/03,9/5/03,,,
"Beetle Plastics, L.L.C.; A Midwest Towers Company - Ardmore Manufacturing Facili...",2014-2367-TVR3,5/22/15,7/5/15,7/6/15,9/3/15,
"BKEP CRUDE LLC, CUSHING NORTH AND CENTRAL TANK FARM, PAYNE COUNTY",2006-141-TVR M-,4/29/11,6/12/11,,,
,,,,,,
,,,,,,
"BKEP CRUDE LLC, CUSHING NORTH AND CENTRAL TANK FARM, PAYNE COUNTY",2006-141-C M-8,8/25/11,10/8/11,,,
,,,,,,
,,,,,,
"BKEP CRUDE LLC, CUSHING NORTH AND CENTRAL TANK FARM, PAYNE COUNTY",2011-466-C M-1,5/24/12,7/7/12,,,
,,,,,,
,,,,,,
BLUESTEM GAS SVC LLC - NORTHEAST MAYFIELD GAS PLT,2015-0382-TVR3,4/9/15,5/23/15,5/24/15,7/22/15,
"CARDINAL ARKOMA MIDSTREAM LLC, COALGATE GAS PLT, COAL COUNTY",2006-309-C M-2,3/29/11,5/12/11,,,
,,,,,,
,,,,,,
"CARDINAL FG CO, CARDINAL GLASS PLT, BRYAN COUNTY",2009-353-C M-1,4/15/11,5/29/11,,,
,,,,,,
,,,,,,
CARDINAL FG CO - CARDINAL GLASS PLT,2014-2167-TVR2,4/10/15,5/24/15,5/25/15,7/23/15,
CENTERPOINT ENGRY GAS TRANS CO LLC,2003-169-TVR M-,5/4/11,6/17/11,,,
,,,,,,
,,,,,,
"CMS Cherokee Gas Processing, L.L.C.",2002-412-O,7/22/03,9/5/03,,,
COMMERCIAL BRICK CORP,2013-1888-TVR2,8/11/15,9/24/15,9/25/15,11/23/15,This application from Commercial Brick Corporation (CBC) is for a minor modification to their Title ...
,,,,,,
,,,,,,
Commercial Brick Corporation - Wewoka Brick Plant,2013-1888 TVR2,2/11/15,3/27/15,3/28/15,5/26/15,
COMMERCIAL METALS CO,2015-0643-C PSD,9/15/15,10/29/15,,,Commercial Metals Company (CMC) has submitted an application for a PSD construction permit for a gr...
,,,,,,
,,,,,,
CONOCOPHILLIPS - PONCA CITY RFNRY,98-104-C M-8,4/5/12,5/19/12,,,
,,,,,,
,,,,,,
CONTINENTAL CARBON CO,2004-302-TVR M-,7/15/15,8/28/15,8/29/15,10/27/15,Continental Carbon requested a minor modification to their Title V renewal operating permit for the...
,,,,,,
,,,,,,
,,,,,,
DCP MIDSTREAM LP,2010-570-O,3/10/11,4/23/11,,,
,,,,,,
,,,,,,
DCP MIDSTREAM LP,2010-503-O,3/1/11,4/14/11,,,
,,,,,,
,,,,,,
DCP MIDSTREAM LP,2009-235-TVR2 M,3/15/11,4/28/11,,,
,,,,,,
,,,,,,
DCP MIDSTREAM LP,2010-595-O,5/16/11,6/29/11,,,
,,,,,,
,,,,,,
DCP MIDSTREAM LP,2010-631-O,5/19/11,7/2/11,,,
,,,,,,
,,,,,,
DCP MIDSTREAM LP,2011-075-O,10/25/11,12/8/11,,,
,,,,,,
,,,,,,
DCP MIDSTREAM LP,2011-789-O,2/16/12,3/31/12,,,operating permit
,,,,,,
,,,,,,
DCP MIDSTREAM LP,2009-122-C M-1,5/26/12,7/9/12,,,
,,,,,,
,,,,,,
DCP MIDSTREAM LP,2013-1568-TVR2,9/29/15,11/12/15,11/13/15,1/11/16,"DCP Midstream, LP (DCP) has requested a renewal to their Part 70 operating permit at their Kingfish..."
,,,,,,
,,,,,,
,,,,,,
DCP MIDSTREAM LP,2013-1557-TVR2,10/2/15,11/15/15,11/16/15,1/14/16,DCP Midstream (DCP) submitted a minor modification of their major source operating permit for the O...
,,,,,,
,,,,,,
"DCP Midstream, LP - Hughes Booster Station",2014-0780-TVR3,3/10/15,4/23/15,4/24/15,6/22/15,
"DCP Midstream, LP - Straight Compressor Station",2014-2364-TVR3,5/22/15,7/5/15,7/6/15,9/3/15,
"DCP Midstream, L.P.- Woodward County No. 2 Compressor Station",2014-0050-O,4/3/15,5/17/15,5/18/15,7/16/15,
DEVON GAS SVC LP,2009-165-C M-2,2/14/12,3/29/12,,,construction permit
,,,,,,
,,,,,,
DMI IND,2009-013-TV M-2,4/26/11,6/9/11,,,
,,,,,,
,,,,,,
DMI IND,2009-013-TV M-2,4/26/11,6/9/11,,,
,,,,,,
,,,,,,
DW NATIONAL STANDARD STILLWATER LLC,2006-313-TVR,3/4/11,4/17/11,,,
,,,,,,
,,,,,,
EJIW ARDMORE FOUNDRY INC,2007-213-C M-4,5/18/11,7/1/11,,,PSD Permit
,,,,,,
,,,,,,
ENABLE GAS TRANSMISSION LLC,2015-1510-TVR3,10/30/15,12/13/15,12/14/15,2/11/16,"Enable Gas Transmission, LLC (EGT) has requested renewal of their current Part 70 operating permit...."
,,,,,,
,,,,,,
"Enable Gas Transmission, LLC - Red Oak #1 Compressor Station",2003-169-C (M-3,5/19/15,7/2/15,7/3/15,8/31/15,
"Enable Products, LLC - Cox City Processing Plant",2014-1159-TVR,5/30/15,7/13/15,7/14/15,9/11/15,
ENBRIDGE PIPELINES TEXAS GATHERING LP,2012-1371-C M-1,8/18/15,10/1/15,10/2/15,11/30/15,
,,,,,,
,,,,,,
"Enbridge Pipelines (Texas Gathering), L.P. - TexOk Compressor Station",2011-1019-TV (M,5/12/15,6/25/15,6/26/15,8/24/15,
ENOGEX GAS GATHERING LLC,2008-195-TV M-1,2/11/11,3/27/11,,,
,,,,,,
,,,,,,
ENOGEX GAS GATHERING LLC,2010-061-C M-3,9/22/11,11/5/11,,,
,,,,,,
,,,,,,
ENOGEX PROD LLC,97-118-TV M-4,2/23/11,4/8/11,,,
,,,,,,
,,,,,,
EQ OKLAHOMA INC,2014-2305-TVR,7/30/15,9/12/15,9/13/15,11/11/15,"EQ Oklahoma submitted an application dated November 20, 2014, received on November 24, 2014, to ren..."
,,,,,,
,,,,,,
"EQ Oklahoma, Inc. - Commercial Waste Treatment, Storage and Disposal Facility",2007-070-TV (M-,2/27/15,4/12/15,4/13/15,6/11/15,
EXPLORER PIPELINE CO,2014-2304-C M-1,9/22/15,11/5/15,,,
,,,,,,
,,,,,,
FIBER GLASS SYS,2005-020-C M-2,7/28/11,9/10/11,,,
,,,,,,
,,,,,,
GOODYEAR TIRE AND RUBBER CO,99-103-TV M-2,3/4/11,4/17/11,,,
,,,,,,
,,,,,,
GOODYEAR TIRE AND RUBBER CO,99-103-C M-10 P,3/20/12,5/3/12,,,PSD permit
,,,,,,
,,,,,,
GRAND RIVER DAM AUTH,2009-435-ARR2,12/30/09,2/13/10,,,Acid Rain Permit
,,,,,,
,,,,,,
GRAND RIVER DAM AUTH,2009-179-C M-2,5/22/12,7/5/12,,,PSD modification
,,,,,,
,,,,,,
GREAT PLAINS LNDFLL LLC,2006-078-TVR M-,3/4/11,4/17/11,,,
,,,,,,
,,,,,,
"Holly Energy Partners, LP - Tulsa Refinery Tank Farm and Product Loading",2012-924-TV (M-,3/3/15,4/16/15,4/17/15,6/15/15,
"Holly Energy Partners, LP - Tulsa Refinery Tank Farm and Product Loading",2012-924-TV (M-,4/23/15,6/6/15,6/7/15,8/5/15,
HOLLY ENGRY PARTNERS TULSA LLC,2012-924-TV M-8,9/24/15,11/7/15,11/8/15,1/6/16,Holly Energy Partners (HEP) has requested minor modifications to the Title V operating permit for a...
,,,,,,
,,,,,,
HOLLY ENGRY PARTNERS TULSA LLC - HOLLY ENGRY PARTNERSÊ,2012-924-TV M-7,6/25/15,8/9/15,,,minor modifications to the Title V operating permit
,,,,,,
HOLLY RFNRY AND MKTG - TULSA LLC,98-014-TV M-18,4/1/11,5/15/11,,,
,,,,,,
,,,,,,
HOLLY RFNRY AND MKTG - TULSA LLC,98-014-C M-19 P,1/13/12,2/26/12,,,PSD permit
,,,,,,
,,,,,,
HOLLY RFNRY AND MKTG - TULSA LLC,2012-1062-C M-6,9/22/15,11/5/15,,,Construction permit
,,,,,,
,,,,,,
HOLLY RFNRY AND MKTG - TULSA LLC - TULSA RFNRY EAST,2012-1062-TVR2,4/15/15,5/29/15,5/30/15,7/28/15,
HOLLY RFNRY AND MKTG - TULSA LLC - TULSA RFNRY EAST,2012-1062-TVR2,6/30/15,8/14/15,,,"minor modification to the facility operating permit,"
,,,,,,
HUBER ENGINEERED WOODS LLC,2003-099-C M-3,9/9/11,10/23/11,,,
,,,,,,
,,,,,,
IC OF OKLAHOMA LLC,2014-1170-TVR2,8/18/15,10/1/15,10/2/15,11/30/15,
,,,,,,
,,,,,,
INTERNATIONAL PAPER - VALLIANT,97-057-TV M-11,5/6/11,6/19/11,,,minor modification to the Part 70 permit
,,,,,,
,,,,,,
INTERNATIONAL PAPER - VALLIANT,2013-0465-TVR M,8/27/15,10/10/15,10/11/15,12/9/15,
,,,,,,
,,,,,,
KIMBERLY CLARK CORP,2013-0123-TVR2,9/9/15,10/23/15,10/24/15,12/22/15,"Applicant requests a minor modification to the operating permit for the Jenks Facility, which is cu..."
,,,,,,
,,,,,,
,,,,,,
KIMBERLY CLARK CORP,2013-01123-TVR,10/22/15,12/5/15,12/6/15,2/3/16,"Applicant requests a minor modification to the operating permit for the Jenks Facility, which is cu..."
,,,,,,
,,,,,,
KIOWA POWER PARTNERS LLC,2009-446-ARR,12/31/09,2/14/10,,,Acid Rain Permit
,,,,,,
,,,,,,
KOCH FERTILIZER ENID LLC,2011-441-TVR M-,10/16/15,11/29/15,11/30/15,1/28/16,Koch Fertilizer Enid LLC (Koch) operates an ammonia products and nitrogen fertilizer plant (SIC 287...
,,,,,,
,,,,,,
LINN OPR INC,2010-711-C,8/19/11,10/2/11,,,
,,,,,,
,,,,,,
LONE STAR IND INC DBA BUZZI UNICEM USA PRYOR PRYOR CEMENT FACLTY MAYES COUNTY,98-170-TV M-12,9/26/15,11/9/15,11/10/15,1/8/16,Title V modification
MADILL GAS PROCESSING LLC,2004-030-C M-8,3/30/12,5/13/12,,,
,,,,,,
,,,,,,
