a,a,a,a,a
111000450,CABINETRY PLUS,100 State Road 60,Abbotsford,Columbia
111000560,DIAMOND STAR WOOD SHAVINGS INC,W9191 County Road Cs,Abbotsford,Columbia
111001440,COLUMBUS MANUFACTURING LLC,720 W James St,Abbotsford,Columbia
111002430,WISCONSIN ACADEMY,Duborg Rd,Abbotsford,Columbia
111002760,FALL RIVER FOUNDRY CO,670 S Main St,Abbotsford,Columbia
111002980,LODI CANNING CO,307 Nestles St,Abbotsford,Columbia
111003090,WPL - COLUMBIA ENERGY CENTER,W8375 Murray Rd,Abbotsford,Columbia
111003200,UNIMIN CORP,W8375 Us Highway 51,Abrams,Columbia
111003530,DEL MONTE FOODS PLANT 108 CAMBRIA,801 W Commerce,Abrams,Columbia
111004520,GRANDE CHEESE,104 Monroe St & Washington St.,Abrams,Columbia
111005290,SPECTRUM BRANDS INC,2851 Portage Rd,Adams,Columbia
111005400,POLYONE DESIGNED STRUCTURES AND SOLUTIONS,PO Box 450,Adams,Columbia
111005510,ASSOCIATED MILK PRODUCERS INC-PORTAGE,301 Brooks St,Adams,Columbia
111006170,RESEARCH PRODUCTS CORP,300 E John St,Adams,Columbia
111006280,CONVERTERS PREPRESS INC,210 Commercial Dr,Adams,Columbia
111006720,SAINT-GOBAIN SGPPL,2316 W Wisconsin St,Adams,Columbia
111008260,ENCAPSYS LLC,2500 W Wisconsin St,Adams,Columbia
111008700,PORTAGE CASTING & MOLD INC,2901 Portage Rd,Adams,Columbia
111008810,AMERICAN PACKAGING CORP,100 Apc Way,Adell,Columbia
111009140,METALFAB INC COLUMBUS,240 N Birdsey St,Adell,Columbia
111009690,PIERCE'S SUPERMARKET,120 W Conant St,Adell,Columbia
111011450,RITE GUY HAULING INC,Poynette Ind. Park,Afton,Columbia
111011780,STAFFORD TRUCKING INC,Hwy. 16 South,Albany,Columbia
111012220,COLUMBIA CORRECTIONAL,2925 Columbia Dr,Albany,Columbia
111013210,SENECA FOODS-CAMBRIA,437 S Williams St,Albany,Columbia
111014420,AMPI-PORTAGE DIV,801 Brook Street,Alden,Columbia
111017390,SONOCO PROTECTIVE SOLUTIONS INC,109 Lynch St,Algoma,Columbia
111024980,ARLINGTON EXPERIMENTAL FARMS-UW MADISON,Arlington Township,Algoma,Columbia
111030040,UNITED WISCONSIN GRAIN PRODUCERS LLC,W1231 Tessman Dr,Algoma,Columbia
111036640,STOKLEY USA INC (POYNETTE),100 Kent Rd,Algoma,Columbia
111043130,ROBBINS MANUFACTURING,100 Continental Dr,Algoma,Columbia
111043240,BUSSE INC,124 N Columbus St,Algoma,Columbia
111043680,RAYOVAC CORP,233 Edgewater St,Algoma,Columbia
111043790,PORTAGE CLEANERS INC,104 E Wisconsin St,Algoma,Columbia
111044340,CRAWFORD OIL COMPANYBULK PLANT #1,Superior St. Plant #1,Algoma,Columbia
111044780,SPARA LLC,N7660 Industrial Rd,Algoma,Columbia
