a,a,a,a,a
111000450,CABINETRY PLUS,100 State Road 60,Columbus,Columbia
111000560,DIAMOND STAR WOOD SHAVINGS INC,W9191 County Road Cs,Poynette,Columbia
111001440,COLUMBUS MANUFACTURING LLC,720 W James St,Columbus,Columbia
111002430,WISCONSIN ACADEMY,Duborg Rd,Columbus,Columbia
111002760,FALL RIVER FOUNDRY CO,670 S Main St,Fall River,Columbia
111002980,LODI CANNING CO,307 Nestles St,Lodi,Columbia
111003090,WPL - COLUMBIA ENERGY CENTER,W8375 Murray Rd,Pardeeville,Columbia
111003200,UNIMIN CORP,W8375 Us Highway 51,Portage,Columbia
111003530,DEL MONTE FOODS PLANT 108 CAMBRIA,801 W Commerce,Cambria,Columbia
111004520,GRANDE CHEESE,104 Monroe St & Washington St.,Wyocena,Columbia
111005290,SPECTRUM BRANDS INC,2851 Portage Rd,Portage,Columbia
111005400,POLYONE DESIGNED STRUCTURES AND SOLUTIONS,PO Box 450,Portage,Columbia
111005510,ASSOCIATED MILK PRODUCERS INC-PORTAGE,301 Brooks St,Portage,Columbia
111006170,RESEARCH PRODUCTS CORP,300 E John St,Poynette,Columbia
111006280,CONVERTERS PREPRESS INC,210 Commercial Dr,Columbus,Columbia
111006720,SAINT-GOBAIN SGPPL,2316 W Wisconsin St,Portage,Columbia
111008260,ENCAPSYS LLC,2500 W Wisconsin St,Portage,Columbia
111008700,PORTAGE CASTING & MOLD INC,2901 Portage Rd,Portage,Columbia
111008810,AMERICAN PACKAGING CORP,100 Apc Way,Columbus,Columbia
111009140,METALFAB INC COLUMBUS,240 N Birdsey St,Columbus,Columbia
111009690,PIERCE'S SUPERMARKET,120 W Conant St,Portage,Columbia
111011450,RITE GUY HAULING INC,Poynette Ind. Park,Poynette,Columbia
111011780,STAFFORD TRUCKING INC,Hwy. 16 South,Pardeeville,Columbia
111012220,COLUMBIA CORRECTIONAL,2925 Columbia Dr,Portage,Columbia
111013210,SENECA FOODS-CAMBRIA,437 S Williams St,Cambria,Columbia
111014420,AMPI-PORTAGE DIV,801 Brook Street,Portage,Columbia
111017390,SONOCO PROTECTIVE SOLUTIONS INC,109 Lynch St,Pardeeville,Columbia
111024980,ARLINGTON EXPERIMENTAL FARMS-UW MADISON,Arlington Township,Arlington,Columbia
111030040,UNITED WISCONSIN GRAIN PRODUCERS LLC,W1231 Tessman Dr,Friesland,Columbia
111036640,STOKLEY USA INC (POYNETTE),100 Kent Rd,Poynette,Columbia
111043130,ROBBINS MANUFACTURING,100 Continental Dr,Columbus,Columbia
111043240,BUSSE INC,124 N Columbus St,Randolph,Columbia
111043680,RAYOVAC CORP,233 Edgewater St,Portage,Columbia
111043790,PORTAGE CLEANERS INC,104 E Wisconsin St,Portage,Columbia
111044340,CRAWFORD OIL COMPANYBULK PLANT #1,Superior St. Plant #1,Portage,Columbia
111044780,SPARA LLC,N7660 Industrial Rd,Portage,Columbia
111047090,PASLODE,2855 Smith Rd,Portage,Columbia
111048520,SKYLINE STEEL INC,102 Skyline Dr,Arlington,Columbia
111050610,COLUMBUS CHEMICAL INDUSTRIES INC,N4335 Temkin Rd,Columbus,Dodge
111051490,AMERICANPACKAGING - CONSUMER BAG DIVISION,200 Continental Dr,Columbus,Columbia
111053690,SCHOESSOW INC,N5820 Johnson Rd,Portage,Columbia
111055340,SCHUMANN PRINTERS INC,701 S Main St,Fall River,Columbia
111056220,NATIONAL MINERALS CORP,Jeff Wendt Harmony Grove T,Poynette,Columbia
111058420,JEFF HAHN LIME QUARRY,Welch Prairie Rd,Cambria,Columbia
111066890,WYOCENA AUTO SALES INC,N5599 S 2nd,Pardeeville,Columbia
111068870,EVERBRITE LLC,401 S Main St,Pardeeville,Columbia
111070520,PENDA CORPORATION PORTAGE PLANT,2344 W Wisconsin St,Portage,Columbia
111071180,CARDINAL FG,1650 Mohr Rd,Portage,Columbia
111072170,DANCO PRAIRIE FS COOP,1310 Chy I,Arlington,Columbia
111080090,GAVILON GRAIN LLC,5167 Meek Rd,Arlington,Dane
111080970,DUFFY GRAIN INC,N3867 Baden St,Columbus,Dodge
111081300,ADVANCED COMFORT PRODUCTS INC,2626 Murphy Rd,Portage,Columbia
111081520,DIDION MILLING-CAMBRIA,501 S Williams St,Cambria,Columbia
